Model,F1,Precision,Recall,AUPRC,AUC-ROC,U_norm
RF (with ICULOS),0.2017968210089841,0.1477358967872502,0.3182561307901907,0.1081827226328934,0.8121899535174408,0.3203696015024768
RF (no ICULOS),0.09360421369450715,0.057362434675683985,0.2542234332425068,0.04564097136781545,0.6733687564216898,-0.006283559922320811
XGB (with ICULOS),0.21118236834974258,0.15795162815835698,0.3185286103542234,0.12479592560071102,0.8066846453581069,0.3149777219239106
XGB (no ICULOS),0.13645977011494254,0.10298403886190145,0.20217983651226157,0.07333388670433245,0.751805823249766,0.1053241676024639
