Model,F1,Precision,Recall,AUPRC,AUC-ROC,U_norm
qSOFA >= 2,0.06426957330852054,0.03659828930436757,0.26348773841961853,0.027849039090274134,0.5624719801370157,-0.24255934550664096
NEWS >= 5,0.06733725564623268,0.036189310485516116,0.4833787465940054,0.03574255238919132,0.6142625124877154,-0.46301059149058965
